tag,release_datetime
v1.0.0,2025-12-15T10:07:51
v1.0.2,2026-01-05T11:32:36
v1.0.2,2026-01-07T16:27:38
v1.0.3,2026-01-16T16:42:12
v1.0.4,2026-01-29T10:12:32
v1.0.5,2026-02-04T16:52:58
v1.0.6,2026-02-12T14:33:36
v1.0.7,2026-02-19T09:54:23
v1.0.8,2026-02-25T14:53:48
v1.0.9,2026-03-10T10:33:48
